depth (ft),longitude,latitude
10199.3,-107.98313,41.9404
8224.9,-108.26326,41.91189
9543.2,-107.86859,41.85363
9615.2,-107.96479,41.88967
7144.7,-108.27418,41.82453
9840.1,-108.11515,41.43822
9683.2,-108.09721,41.42397
7232.7,-107.74288,41.68417
6315.9,-107.66738,41.66145
10651.7,-107.94446,41.94012
7844.4,-107.96955,41.39422
8496,-107.98808,41.37829
7879.7,-108.22613,41.88277
7253.9,-108.03562,41.69705
7334.9,-108.01633,41.68009
9297.3,-108.30229,42.02718
10606.7,-108.19342,41.43131
8849.5,-108.43645,41.01446
10400.7,-108.34473,41.4104
10300.6,-107.7411,41.84528
9345,-107.89656,41.86813
9437.5,-107.92538,41.87507
7454.4,-108.38121,41.92005
11815.2,-108.11286,41.18869
10957.3,-107.94475,41.99098
9654.1,-108.34453,41.43221
8475.4,-108.19302,41.92444
9513.1,-108.26584,42.01087
10770.7,-107.90645,41.94033
6043.4,-108.60943,41.17581
9359.8,-108.23431,41.99101
9935.8,-107.71249,41.82425
10281.3,-107.94463,41.93272
1898.5,-108.66904,41.4773
4916.9,-108.44798,41.81115
2154.9,-108.68824,41.44119
7126.5,-108.08859,41.69887
12770.9,-108.17865,42.15776
12148.6,-108.13968,41.1976
7338.3,-107.97192,41.54499
7101,-107.95886,41.55037
7811.5,-108.42579,41.99998
10104.4,-107.77125,41.84499
,-107.74077,42.17868
10127,-108.32581,41.42488
7709.5,-107.75679,41.70047
12422.5,-108.1507,41.20972
6742.1,-107.93363,41.56183
,-108.1507,41.19693
7140.4,-107.93711,41.63194
9901.4,-108.07357,41.34693
,-108.59145,42.04527
8289.8,-108.11702,41.54013
7646.6,-108.22574,41.85377
7407.2,-108.00811,41.53187
7313.8,-108.01242,41.56322
7359.5,-108.07043,41.62877
10745.4,-108.25755,41.42579
9525.3,-108.27925,41.46244
11756,-108.06648,41.11041
10524.9,-108.11433,41.38336
,-107.98736,41.0917
,-108.5966,42.04596
10720.7,-108.02346,42.01909
11634.6,-108.09357,42.09411
9248,-108.31065,42.01325
7674,-108.01344,41.72964
7588,-108.02379,41.71863
8153.1,-108.43094,42.00572
9158.3,-108.26098,41.97161
7293.6,-108.04296,41.70846
10543,-108.03761,41.23984
2880.6,-108.55129,41.58045
4073.7,-108.50369,41.5624
9042.5,-108.4782,42.07195
2822.8,-108.56995,41.58711
4118.8,-108.60871,41.13931
5226.6,-108.65383,41.04926
,-108.33474,41.9178
4495.5,-108.68316,41.20711
7250,-108.02308,41.65358
9019.6,-107.92404,41.19113
8107.9,-107.93105,41.73355
8520.7,-108.04898,41.83705
7504.2,-108.06625,41.59938
7679.5,-108.08453,41.58127
7425.8,-107.9581,41.63315
6949.3,-108.13804,41.72998
7990.2,-108.01753,41.61708
7133.7,-107.9699,41.62323
9431.2,-108.13758,41.46953
7317.8,-107.94586,41.62115
8861.4,-108.45153,42.05948
8001.8,-107.91812,41.72306
,-108.39474,41.56291
,-108.07335,41.2013
7858.4,-107.93893,41.71041
7706.9,-107.97758,41.53772
4073.7,-108.61942,41.13817
7294.3,-108.13006,41.69593
,-108.11059,41.23789
7500,-108.06692,41.69375
,-108.02094,41.79298
,-108.11066,41.21631
,-108.1439,41.20544
,-108.12254,41.21272
,-108.11504,41.22812
7378.8,-108.0536,41.51235
,-107.97791,41.65194
9029.5,-108.1004,41.50587
16256.5,-108.39433,41.14774
,-108.16465,41.2075
,-108.13083,41.21924
,-108.12967,41.24585
,-108.15735,41.22356
,-108.15721,41.22353
1541.1,-108.62634,41.72001
