station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
wy2,42.16066667,-108.4148333,6751,979708.98,980362,0.12,-230.26,-1.52,0,-18.91,-250.56
wy2,42.15816667,-108.3826667,6776,979706.87,980362,0.06,-231.11,-1.52,0,-18.45,-251.02
wy2,42.18083333,-108.361,6850,979706.05,980364,0.12,-233.63,-1.52,0,-14.36,-249.39
wy2,41.47616667,-109.4811667,7083,979639.31,980301,0.96,-241.58,-1.51,0,4.17,-237.97
wy2,41.454,-109.4976667,7172,979632.13,980299,1,-244.62,-1.51,0,7.34,-237.79
wy2,41.43783333,-109.5288333,6972,979642.68,980297,0.64,-237.79,-1.52,0,0.55,-238.12
wy2,41.40883333,-109.5323333,6925,979644.99,980294,0.92,-236.19,-1.52,0,1.05,-235.74
wy3,41.46183333,-109.5815,6335,979679.07,980299,0.6,-216.07,-1.51,0,-25.07,-242.05
wy3,41.368,-109.6246667,6197,979683.09,980291,0.43,-211.36,-1.51,0,-25.59,-238.03
wy3,41.33183333,-109.6365,6448,979663.47,980288,0.26,-219.92,-1.51,0,-18.39,-239.56
wy3,41.3025,-109.6746667,6298,979669.61,980285,0.03,-214.81,-1.51,0,-23.71,-239.99
wy3,41.26666667,-109.7133333,6289,979665.68,980282,0.08,-214.5,-1.51,0,-25.27,-241.2
wy3,41.65266667,-108.572,7145,979663.11,980316,0.24,-243.7,-1.51,0,17.94,-227.03
wyj,41.67833333,-108.5791667,7046,979673.18,980319,0.55,-240.32,-1.51,0,16.4,-224.89
wy3,41.70316667,-108.5888333,7075,979674.39,980321,0.18,-241.31,-1.51,0,18.1,-224.54
wy3,41.73366667,-108.5901667,7016,979679.69,980324,0.11,-239.3,-1.52,0,15.11,-225.59
wy3,41.7725,-108.6078333,7235,979665.9,980327,0.35,-246.77,-1.51,0,18.41,-229.52
wy4,41.81883333,-108.5955,7061,979676.32,980331,0.26,-240.83,-1.51,0,8.32,-233.77
wy4,41.857,-108.6085,6752,979698.62,980335,0.02,-230.29,-1.52,0,-1.85,-233.64
wy4,41.87316667,-108.6396667,6768,979695.52,980336,0.13,-230.84,-1.52,0,-4.9,-237.12
wy4,41.87966667,-108.5708333,6666,979702.76,980337,0.01,-227.36,-1.52,0,-7.83,-236.69
wy4,41.883,-108.5388333,6635,979705.4,980337,0.01,-226.3,-1.52,0,-8.4,-236.21
